0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;1
41;0
42;0
43;0
44;0
45;0
46;1
47;1
48;0
49;0
50;0
51;0
52;4
53;1
54;0
55;8
56;5
57;8
58;8
59;17
60;19
61;15
62;28
63;25
64;40
65;41
66;61
67;67
68;91
69;120
70;122
71;127
72;197
73;245
74;295
75;296
76;378
77;385
78;456
79;554
80;594
81;624
82;757
83;886
84;939
85;1014
86;1125
87;1244
88;1350
89;1398
90;1471
91;1531
92;1628
93;1649
94;1701
95;1663
96;1820
97;1766
98;1732
99;1655
100;1569
101;1494
102;1341
103;1282
104;1167
105;1124
106;1029
107;934
108;889
109;863
110;784
111;770
112;764
113;706
114;686
115;634
116;616
117;604
118;631
119;600
120;580
121;608
122;579
123;554
124;607
125;577
126;535
127;625
128;581
129;632
130;633
131;631
132;657
133;600
134;662
135;644
136;629
137;661
138;683
139;635
140;694
141;726
142;691
143;740
144;761
145;754
146;772
147;751
148;726
149;756
150;787
151;782
152;797
153;812
154;853
155;860
156;869
157;902
158;886
159;906
160;927
161;972
162;965
163;1024
164;930
165;949
166;983
167;1059
168;959
169;1118
170;1171
171;1246
172;1533
173;1585
174;1885
175;2093
176;1923
177;1971
178;1928
179;1687
180;1679
181;1462
182;1396
183;1317
184;1393
185;1428
186;1529
187;1629
188;1589
189;1695
190;1769
191;1893
192;1945
193;2062
194;2084
195;1900
196;1977
197;1845
198;1865
199;2103
200;2128
201;2455
202;2614
203;3086
204;3116
205;3061
206;3389
207;3456
208;3260
209;3211
210;2842
211;2785
212;2774
213;2371
214;2423
215;2393
216;2427
217;2455
218;2624
219;2969
220;3580
221;3972
222;4044
223;4077
224;3682
225;3770
226;3244
227;2985
228;2640
229;2366
230;2287
231;2050
232;2144
233;2205
234;2223
235;2412
236;2321
237;2354
238;2196
239;2034
240;1832
241;1633
242;1229
243;1012
244;867
245;733
246;621
247;587
248;443
249;392
250;412
251;314
252;248
253;231
254;159
255;750
